keys,values,values-ms,values-th,values-vi,values-zh,values-zh-rCN
string-->>app_permission_camera_storage,App needs access to external storage and camera for selecting photo,App memerlukan akses kepada storan dan kamera luaran untuk memilih foto,แอพต้องการเข้าถึงที่เก็บข้อมูลภายนอก และกล้องเพื่อเลือกรูปภาพ,Ứng dụng cần được cấp quyền truy cập vào bộ nhớ ngoài và máy ảnh để chọn ảnh,应用需要访问外部存储和相机以选择照片,应用需要访问外部存储和相机以选择照片
string-->>app_permission_share_image,App needs access to external storage for sharing the image,App memerlukan akses ke storan luaran untuk berkongsi imej,แอพต้องการเข้าถึงที่เก็บข้อมูลภายนอกเพื่อการแชร์รูปภาพ,Ứng dụng cần được cấp quyền truy cập vào bộ nhớ ngoài để chia sẻ hình ảnh,应用需要访问外部存储以共享映像,应用需要访问外部存储以共享映像
string-->>app_nearby_location_rewards,App needs access to location for finding nearby rewards,Ap memerlukan akses ke lokasi untuk mencari ganjaran yang berdekatan,แอพต้องการเข้าถึงตำแหน่งที่ตั้งเพื่อค้นหารางวัลใกล้เคียง,Ứng dụng cần được cấp quyền truy cập vào định vị để tìm phần thưởng lân cận,应用需要访问位置以查找附近的奖励,应用需要访问位置以查找附近的奖励
string-->>app_nearby_location_facilities,App needs access to location for finding nearby facilities,App memerlukan akses ke lokasi untuk mencari kemudahan berdekatan,แอพต้องการเข้าถึงตำแหน่งเพื่อค้นหาสิ่งอำนวยความสะดวกในบริเวณใกล้เคียง,Ứng dụng cần được cấp quyền truy cập vào định vị để tìm các cơ sở lân cận,应用需要访问位置以查找附近的设施,应用需要访问位置以查找附近的设施
string-->>app_location_permission_checkin,App needs access to location for checking in to events,App memerlukan akses ke lokasi untuk menyemak masuk ke acara,แอพต้องการเข้าถึงตำแหน่งที่ตั้งเพื่อลงทะเบียนงานอีเวนท์,Ứng dụng cần được cấp quyền truy cập vào định vị để đăng ký sự kiện,应用需要访问位置以签入活动,应用需要访问位置以签入活动
string-->>app_location_permission_facility,App needs access to location for checking in to facility,App memerlukan akses ke lokasi untuk diperiksa ke kemudahan,,Ứng dụng cần được cấp quyền truy cập vào định vị để đăng ký cơ sở,应用需要访问位置以签入设施,应用需要访问位置以签入设施
string-->>verificatoin_failed,Verification Failed,Verifikasi Gagal,,Xác thực Thất bại,验证失败,验证失败
string-->>cannot_edit,You cannot edit this.,Anda tidak boleh mengeditnya.,คุณไม่สามารถแก้ไขได้,Bạn không thể chỉnh sửa nội dung này.,您不能编辑此。,您不能编辑此。
string-->>select_organization,Select Organization,Pilih Organisasi,เลือกองค์กร,Chọn Tổ chức,选择组织,选择组织
string-->>only_one_org,There is no other organization available.,Tiada organisasi lain yang tersedia.,ไม่มีองค์กรอื่น,Không có tổ chức có sẵn nào khác.,没有其他组织可用。,没有其他组织可用。
string-->>bronze_category,1 Referral,1 Rujukan,การแนะนำ 1 คน,1 Giới thiệu,1 转介,1 转介
string-->>silver_category,3 Referrals,3 Rujukan,,3 Giới thiệu,3 转介,3 转介
string-->>gold_category,5 Referrals,5 Rujukan,,5 Giới thiệu,5 转介,5 转介
string-->>platinum_category,8 Referrals,8 Rujukan,,8 Giới thiệu,8 转介,8 转介
string-->>referrals,Referrals,Rujukan,,Giới thiệu,转 介,转 介
string-->>successful_referral,Successful Placement:,Penempatan yang berjaya:,,Bố trí thành công:,成功放置：,成功放置：
string-->>referral_bronze_detail,Refer 2 more to attain Silver Tier,Rujuk 2 lagi untuk mencapai Tahap Perak,,Giới thiệu thêm 2 để đạt Bậc Bạc,参考 2 个，以获得银级,参考 2 个，以获得银级
string-->>referral_silver_detail,"Get 10,000 bonus points when you attain this tier","Dapatkan 10,000 mata bonus apabila anda mencapai peringkat ini",,Nhận 10.000 điểm thưởng khi bạn đạt được bậc này,"达到此级别时获得 10,000 点奖励积分","达到此级别时获得 10,000 点奖励积分"
string-->>referral_gold_detail,"Get 60,000 bonus points when you attain this tier","Dapatkan 60,000 mata bonus apabila anda mencapai peringkat ini",,Nhận được 60.000 điểm thưởng khi bạn đạt được bậc này,"达到此级别时获得 60,000 点奖励积分","达到此级别时获得 60,000 点奖励积分"
string-->>referral_platinum_detail,"Get 80,000 bonus points when you attain this tier","Dapatkan 80,000 mata bonus apabila anda mencapai peringkat ini",,Nhận 80.000 điểm thưởng khi bạn đạt được bậc này,"达到此级别时获得 80,000 点奖励积分","达到此级别时获得 80,000 点奖励积分"
string-->>others,Others,Yang Lain lain,,Khác,别人,别人
string-->>logout,Logout,Log KEluar,ออกจากระบบ,Đăng xuất,登出,登出
string-->>referral_bronze_detail_refer_zero,Refer 1 successfully to attain Bronze Tier,Rujuk 1 berjaya mencapai Tahap Gangsa,,Giới thiệu 1 thành công để đạt được Bậc Đồng,推荐 1 成功获得铜层,推荐 1 成功获得铜层
string-->>select_your_citizenship,Select your citizenship,Pilih kewarganegaraan anda,,Chọn quốc tịch của bạn,选择您的公民,选择您的公民
string-->>select_your_position,Select your position,Pilih Posisi Anda,,Chọn vị trí của bạn,选择您的职位,选择您的职位
string-->>select_your_highest_acdemic_qualification,Select Highest Academic Qualification,Pilih Kelayakan Akademik Tertinggi,,Chọn Bằng cấp Học thuật Cao nhất,选择最高学术资格,选择最高学术资格
string-->>select_your_highest_childhood_qualification,Select Highest Early Childhood Qualification,Pilih Kelayakan Awal Tertinggi,,Chọn Bằng cấp Phổ Thông Trung Học Cao nhất,选择最高幼儿资格,选择最高幼儿资格
string-->>select_currently_persuing,Select Currently Pursuing,Pilih Buat masa ini,,Chọn Hiện Đang theo học,选择当前正在追求,选择当前正在追求
string-->>share,Share,Kongsi,แชร์,Chia sẻ,共享,共享
string-->>selected_images_are_being_download,"Selected images are being download, check notification section","Imej yang dipilih sedang dimuat turun, semak seksyen pemberitahuan","กำลังดาวน์โหลดรูปภาพที่เลือก, ตรวจสอบส่วนการแจ้งเตือน","Hình ảnh đã chọn đang được tải xuống, hãy kiểm tra phần thông báo",正在下载选定的图像，检查通知部分,正在下载选定的图像，检查通知部分
string-->>thank_referral_submission,Thank you for your referral submission.,Terima kasih atas penyerahan rujukan anda.,,Cảm ơn bạn đã gửi thư giới thiệu.,感谢您的推荐提交。,感谢您的推荐提交。
string-->>enter_referral_full_name,Please enter referral\'s full name,Sila masukkan nama penuh rujukan,,Vui lòng nhập tên đầy đủ của người giới thiệu,请输入推荐名,请输入推荐名
string-->>enter_referral_contact_number,Please enter referral’s contact number,Sila masukkan nombor hubungan rujukan,,Vui lòng nhập số liên lạc của người giới thiệu,请输入推荐人联系电话,请输入推荐人联系电话
string-->>specify_position,Please specify position,Sila nyatakan posisi,,Vui lòng xác định vị trí,请指定职位,请指定职位
string-->>specify_highest_qualification,Please specify highest qualification,Sila nyatakan kelayakan tertinggi,,Vui lòng xác định bằng cấp cao nhất,请指定最高资格,请指定最高资格
string-->>need_permission,Need Permission,Perlu Kebenaran,,Cần được Cấp quyền,需要权限,需要权限
string-->>app_need_contact_permission,This app needs contact permission to load contacts.,Aplikasi ini memerlukan kebenaran kenalan untuk memuatkan kenalan.,,Ứng dụng này cần được cấp quyền truy cập liên hệ để tải danh bạ.,此应用需要联系人权限才能加载联系人。,此应用需要联系人权限才能加载联系人。
string-->>grant,Grant,Geran,ยินยอม,Cấp quyền truy cập,授予,授予
string-->>permission_grant_contact,Go to Permissions to Grant Contact,Pergi ke Permissions Untuk Geran Kontak,,Đi tới [Quyền] để Cấp quyền truy cập [Liên hệ],转到授予联系人的权限,转到授予联系人的权限
string-->>unable_to_get_permission,Unable to get Permission,Tidak dapat mendapat Kebenaran,ไม่สามารถรับสิทธิดำเนินการ,Không thể nhận được [Quyền],无法获取权限,无法获取权限
string-->>send_log,Send Logs,Hantar Log,,Gửi Lịch sử,发送日志,发送日志
string-->>no_department_found,No department found.,Tiada jabatan yang ditemui.,,Không tìm thấy bộ phận nào.,没有找到部门,没有找到部门
string-->>please_select_department,Please select one department,Sila pilih satu jabatan,,Vui lòng chọn một bộ phận,请选择一个部门,请选择一个部门
string-->>specify_your_position,Specify your position,Tentukan kedudukan anda,,Xác định vị trí của bạn,指定您的位置,指定您的位置
string-->>specify_your_highest_academic_qualification,Specify your highest academic qualification,Tentukan kelayakan akademik tertinggi anda,,Xác định bằng cấp học thuật cao nhất của bạn,指定您的最高学历,指定您的最高学历
string-->>specify_highest_early_childhood_qualification,Specify highest early childhood qualification,Tentukan kelayakan awal kanak-kanak yang paling tinggi,,Xác định bằng cấp phổ thông trung học cao nhất,指定最高幼儿资格,指定最高幼儿资格
string-->>specify_your_currently_persuing,Specify your currently pursuing,Tentukan masa yang sedang anda jalani,,Xác định bạn hiện đang theo học,指定您当前追求的目标,指定您当前追求的目标
string-->>max_restrict_file_popoup,Only 3 attachments are allowed,Hanya 3 lampiran dibenarkan,,Chỉ cho phép 3 tệp đính kèm,,
string-->>max_limit,* Max of 3 attachments,* Max 3 lampiran,,* Tối đa 3 tệp đính kèm,,
string-->>photo_selected,photo selected,foto dipilih,รูปภาพที่เลือก,ảnh đã chọn,照片选定,照片选定
string-->>photos_selected,photos selected,foto foto yang dipilih,รูปภาพต่างๆที่เลือก,ảnh đã chọn,所选照片,所选照片
string-->>mandatory_required,* Required,* Dikehendaki,,* Bắt buộc,• 必需,• 必需
string-->>please_scpecify,Please specify,Sila jelaskan,,Vui lòng xác định,请具体说明,请具体说明
string-->>please_enter_full_name,Please enter full name,Sila masukkan nama penuh,,Vui lòng nhập họ và tên đầy đủ,请输入全名,请输入全名
string-->>no_permission_to_Delete_image,You do not have permission to delete this image.,Anda tidak mempunyai kebenaran untuk memadamkan imej ini.,คุณไม่ได้รับอนุญาตให้ลบภาพนี้,Bạn không có quyền xóa hình ảnh này.,您没有删除此图像的权限。,您没有删除此图像的权限。
string-->>all_photos,All Photos,Semua Foto,รูปภาพทั้งหมด,Tất cả Ảnh,所有照片,所有照片
string-->>discount_rewards,Discount Rewards,Ganjaran Diskaun,,Phần thưởng Chiết khấu,折扣奖励,折扣奖励
string-->>optional,Optional,Pilihan,ส่วนเสริม,Tùy chọn,选,选
string-->>as_per_nric,as per NRIC,Mengikut NRIC,,theo mỗi NRIC,根据 NRIC,根据 NRIC
string-->>remaining,Remaining,Baki,,Còn lại,剩余,剩余
string-->>featured_rewards,Featured Rewards,Ganjaran Pilihan,รางวัลที่น่าสนใจ,Phần thưởng nổi bật,精选奖励,精选奖励
string-->>event_and_activities,Events & Activities,Acare & Activiti,อีเวนท์ และกิจกรรมต่างๆ,Sự kiện & Hoạt động,活动与新闻,活动与新闻
string-->>JAN,JAN,JAN,,THÁNG MỘT,1月,1月
string-->>FEB,FEB,FEB,,THÁNG HAI,2月,2月
string-->>MAR,MAR,MAR,,THÁNG BA,3月,3月
string-->>APR,APR,APR,,THÁNG TƯ,4月,4月
string-->>MAY,MAY,MAY,,THÁNG NĂM,5月,5月
string-->>JUN,JUN,JUN,,THÁNG SÁU,6月,6月
string-->>JUL,JUL,JUL,,THÁNG BẢY,7月,7月
string-->>AUG,AUG,OGS,,THÁNG TÁM,8月,8月
string-->>SEP,SEP,SEP,,THÁNG CHÍN,9月,9月
string-->>OCT,OCT,OCT,,THÁNG MƯỜI,10月,10月
string-->>NOV,NOV,NOV,,THÁNG MƯỜI MỘT,11月,11月
string-->>DEC,DEC,DEC,,THÁNG MƯỜI HAI,12月,12月
string-->>Su,Su,Ah,,Chủ Nhật,周日,周日
string-->>Mo,Mo,Is,,Thứ hai,周一,周一
