keys,values,values-ar,values-ms,values-ru,values-th,values-vi,values-zh,values-zh-rCN
string-->>month,MONTH,شهر,BULAN,МЕСЯЦ,เดือน,THÁNG,月,月
string-->>add_appointments,Add Appointments,إضافة المواعيد,Tambah APPOINTMENT,Добавить деловую встречу,,Thêm lịch hẹn,添加约会,添加约会
string-->>redeem,REDEEM,يسترد,TEBUS,ОБМЕНЯТЬ,แลกรางวัล,ĐỔI THƯỞNG,兑换,兑换
string-->>dashboard,DASHBOARD,لوحة القيادة,Papan Pemuka,ПАНЕЛЬ УПРАВЛЕНИЯ,หน้าหลัก,BẢNG ĐIỀU KHIỂN,主页,主页
string-->>whats_on_today,WHAT\'S ON TODAY,ما هو عليه اليوم,Berita_hari_ini,НА СЕГОДНЯ,,NHỮNG GÌ DIỄN RA HÔM NAY,今天的内容,今天的内容
string-->>you_want_to_redeem_this_reward,You want to redeem this reward,تريد استرداد هذه المكافأة,anda mahu menebus ganjaran ini,Вы хотите получить это вознаграждение,คุณต้องการแลกรางวัลนี้,Bạn muốn đổi phần thưởng này,您想兑换此奖励,您想兑换此奖励
string-->>member,member,عضو,ahli,участник,,hội viên,成员,成员
string-->>total_points,Total Points,مجمل النقاط,Jumlah Mata,Общее количество баллов,,Tổng Điểm,总积分,总积分
string-->>average_points,averagepoint,نقطة متوسط,mata purata,Среднее количество баллов,,điểm trung bình,平均点,平均点
string-->>enter_customer_id_to_redeem_topup,Please enter Customer Id to redeem this topup.,الرجاء إدخال معرف العميل لاسترداد هذا التعبؤ.,Sila masukkan ID Pelanggan untuk menebus topup ini.,"Введите идентификатор клиента, чтобы получить это вознаграждение.",กรุณาป้อนรหัสลูกค้าเพื่อแลกการเติมเงินนี้,Vui lòng nhập Id Khách hàng để đổi tiền nạp này.,请输入客户 ID 以兑换此充值。,请输入客户 ID 以兑换此充值。
string-->>preview_message,Preview Message,عرض الرسالة,Mesej Kecil,Предпросмотр сообщения,,Xem lại Tin nhắn,预览消息,预览消息
string-->>donwloaded_image,DOWNLOADED IMAGE,تحميل الصورة,,ЗАГРУЖЕННОЕ ИЗОБРАЖЕНИЕ,,HÌNH ẢNH ĐÃ ĐƯỢC TẢI XUỐNG,下载的图像,下载的图像
string-->>enter_pln_number,Enter Pln Number,أدخل رقم PLN.,masukkan nombor pin,Введите пин-код,ป้อนหมายเลข Pln,Nhập Số Pin,输入 Pln 编号,输入 Pln 编号
string-->>enter_pln_to_redeem_topup,Please enter Pln Number to redeem this topup.,يرجى إدخال رقم PLN لاسترداد هذا التعبئة.,Sila masukkan nombor pin untuk menebus topup ini.,"Пожалуйста, введите пин-код, чтобы получить это вознаграждение.",กรุณาป้อนหมายเลข Pln เพื่อแลกการเติมเงินนี้,Vui lòng nhập Số PIN để đổi tiền nạp này.,请输入 Pln 号码以兑换此充值。,请输入 Pln 号码以兑换此充值。
string-->>description,Description,وصف,Deskripsi,Описание,คำอธิบาย,Mô tả,描述,描述
string-->>event_timing,Event Time,وقت الحدث,Waktu Acara,Время события,ระยะเวลาของอีเวนท์,Thời gian sự kiện,活动时间,活动时间
string-->>website,Website,موقع الكتروني,Laman Web,Веб-сайт,เว็บไซต์,Trang web,网站,网站
string-->>points,Points,نقاط,Mata,Баллы,คะแนน,Điểm,点,点
string-->>address,ADDRESS,عنوان,ALAMAT,АДРЕС,ที่อยู่,ĐỊA CHỈ,地址,地址
string-->>whom_to_contact_for_event,WHOM TO CONTACT FOR THE EVENT,لمن يتصل به للحدث,HUBUNGI SIAPA UNTUK ACARA,С КЕМ СВЯЗАТЬСЯ ПО ПОВОДУ ЭТОГО СОБЫТИЯ,ผู้ที่ติดต่อได้สำหรับอีเวนท์,NGƯỜI ĐỂ LIÊN HỆ CHO SỰ KIỆN,活动联系人,活动联系人
string-->>photo,Photo,صورة فوتوغرافية,Foto,Фото,ภาพถ่าย,Ảnh,照片,照片
string-->>add_photo,ADD PHOTO,إضافة صورة,LAMPIRKAN FOTO,ДОБАВИТЬ ФОТО,เพิ่มรูปภาพ,THÊM ẢNH,添加照片,添加照片
string-->>save,SAVE,حفظ,SIMPAN,Сохранить,บันทึก,LƯU,救,救
string-->>title,Title,عنوان,TAJUK,Должность,เพิ่มชื่อภาพ,Chức vụ,称号,称号
string-->>read_more,Read More,اقرأ أكثر,Baca Lebih Lanjut,Читать дальше,อ่านเพิ่มเติม,Đọc Thêm,阅读更多,阅读更多
string-->>terms_and_conditions,TERMS AND CONDITIONS,الأحكام والشروط,TERMA DAN SYARAT,УСЛОВИЯ И ПОЛОЖЕНИЯ,ข้อกำหนด และเงื่อนไข,ĐIỀU KHOẢN VÀ ĐIỀU KIỆN,条款和条件,条款和条件
string-->>terms_and_conditions_small,Terms & Conditions,البنود و الظروف,Terma & Syarat Kecil,Условия и положения,เงื่อนไขและข้อตกลง,Điều khoản và điều kiện,条款和条件,条款和条件
string-->>option,OPTION,اختيار,PILIHAN,ПАРАМЕТР,ทางเลือก,TÙY CHỌN,选项,选项
string-->>filter_categories_by,Filter Categories By,تصفية الفئات من قبل,Tapid Kategori Oleh,Фильтровать категории по,ตัวกรองจัดประเภทโดย,Lọc Danh mục Theo,筛选类别,筛选类别
string-->>vendor_passcode,Vendor Passcode,رمز مرور البائع,Kod Pass Vendor,Код поставщика,รหัสผ่านผู้จำหน่าย,Mật mã Nhà cung cấp,供应商密码,供应商密码
string-->>please_enter_your_passcode,Please Enter Your Passcode,الرجاء إدخال رمز المرور الخاص بك,Sila masukkan kod laluan anda,"Пожалуйста, введите ваш код",กรุณาใส่รหัสผ่านของคุณ,Vui lòng Nhập Mã của Bạn,请输入您的密码,请输入您的密码
string-->>conversations,CONVERSATIONS,المحادثات,PERUNDINGAN,ДИАЛОГИ,,CUỘC HỘI THOẠI,对话,对话
string-->>direct_delivery_address,Direct Delivery Address,عنوان التسليم المباشر,Alamat Penghantaran Terus,Адрес для прямой доставки,ที่อยู่จัดส่งโดยตรง,Địa chỉ Giao hàng Trực tiếp,直接交货地址,直接交货地址
string-->>confirm_redemption,Confirm Redemption,تأكيد الفداء,Mengesahkan Penebusan,Подтвердите обмен,ยืนยันการแลกรางวัล,Xác nhận Quy đổi,确认兑换,确认兑换
string-->>facility_checkin,FACILITY CHECKIN,تسجيل وصول مرفق,SEMAK KEMUDAHAN,РЕГИСТРАЦИЯ НА ПЛОЩАДКУ,เช็คอินสิ่งอำนวยความสะดวก,ĐĂNG KÝ CƠ SỞ,设施签入,设施签入
string-->>select_contact,Select Contact,حدد الاتصال,Pilih Kenalan,Выбрать контакт,เลือกผู้ติดต่อ,Chọn Liên hệ,"选择""联系人""","选择""联系人"""
string-->>search_by_name_or_email,Search by name or email,البحث عن طريق الاسم أو البريد الإلكتروني,Cari mengikut nama atau e-mel,Поиск по имени или эл.почте,ค้นหาด้วยชื่อ หรือ อีเมล,Tìm kiếm theo tên hoặc email,按姓名或电子邮件搜索,按姓名或电子邮件搜索
string-->>enable_google_fit,Enable Google Fit,تمكين Google Fit,Dayakan Google Fit,Запустите Google Fit,,Bật Google Fit,启用 Google 适合,启用 Google 适合
string-->>get_organized,Get organized,الحصول على المنظمة,Sila Teratur,Упорядочить дела,,Có tổ chức,井然有序,井然有序
string-->>synchronize_app_with_calendar,Synchronize the app with your phone calendar to help you organize your schedule better,مزامنة التطبيق مع تقويم هاتفك لمساعدتك في تنظيم الجدول الزمني الخاص بك بشكل أفضل,Segerakkan app dengan kalendar telefon anda untuk membantu anda mengaturkan jadual anda dengan lebih baik,Для оптимизации расписания синхронизуйте приложение с календарем в телефоне,,Đồng bộ hóa ứng dụng với lịch biểu trên điện thoại của bạn để giúp bạn sắp xếp lịch trình của mình tốt hơn,将应用与手机日历同步，以帮助您更好地组织日程安排,将应用与手机日历同步，以帮助您更好地组织日程安排
string-->>get_rewards,Get Rewards,الحصول على مكافآت,Dapatkan Ganjaran,Получить вознаграждения,,Nhận Thưởng,获得奖励,获得奖励
string-->>collect_point_redeem_reward,Collect points and redeem your rewards at merchant partners,جمع النقاط واسترداد المكافآت الخاصة بك في شركاء التجار,Kumpul mata dan tebus ganjaran anda di rakan saudagar,Набирайте баллы и обменивайте их на вознаграждения у торговых партнеров,,Thu thập điểm và đổi phần thưởng của bạn tại các đối tác thương mại,在商家合作伙伴处收集积分并兑换您的奖励,在商家合作伙伴处收集积分并兑换您的奖励
string-->>connect_google_fit_help,"Connect with google fit app.This will make a healthy change in your life by becoming more active, aware and motivated.",تواصل مع تطبيق google fit ، فهذا سيحدث تغييرًا صحيًا في حياتك من خلال أن تصبح أكثر نشاطًا ووعيًا وتحفيزًا.,Sambung dengan aplikasi Google Fit ini akan membuat perubahan yang sihat dalam hidup anda dengan menjadi lebih aktif dan bermotivasi.,"Подключитесь к Google Fit. Это изменит вашу жизнь к лучшему: вы станете более активным, осознанным и мотивированным.",,"Kết nối với ứng dụng Google fit. Việc kết nối này sẽ giúp cuộc sống của bạn thay đổi một cách lành mạnh bởi bạn sẽ trở nên năng động, có ý thức và động lực hơn.",连接到谷歌适合的应用程序。这将通过变得更加积极、有觉察和激励，使你的生活健康地改变。,连接到谷歌适合的应用程序。这将通过变得更加积极、有觉察和激励，使你的生活健康地改变。
